fpath,subject,session,task,run
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7064_V12_20230711_20230711_112631/PHI7064_V12_20230711_20230711_112631_proc-cleaned_raw.fif,PHI7064,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7072_V12_20230912_012952/PHI7072_V12_20230912_012952_proc-cleaned_raw.fif,PHI7072,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7074_V12_20230815_100934/PHI7074_V12_20230815_100934_proc-cleaned_raw.fif,PHI7074,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7080_A2_V12_20230920_124223/PHI7080_A2_V12_20230920_124223_proc-cleaned_raw.fif,PHI7080,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7083_V12_20230911_020303/PHI7083_V12_20230911_020303_proc-cleaned_raw.fif,PHI7083,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7085_V12_20231024_110416/PHI7085_V12_20231024_110416_proc-cleaned_raw.fif,PHI7085,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7093_v12_20231019_111405/PHI7093_v12_20231019_111405_proc-cleaned_raw.fif,PHI7093,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7094_V12_20231016_121721/PHI7094_V12_20231016_121721_proc-cleaned_raw.fif,PHI7094,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7101_V12_20231113_115030/PHI7101_V12_20231113_115030_proc-cleaned_raw.fif,PHI7101,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/phi7102_v12_10-5-23_FINAL_20231005_010409/phi7102_v12_10-5-23_FINAL_20231005_010409_proc-cleaned_raw.fif,phi7102,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7105_v06_20230728_101131/PHI7105_v06_20230728_101131_proc-cleaned_raw.fif,PHI7105,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7105_V12_20240116_013235/PHI7105_V12_20240116_013235_proc-cleaned_raw.fif,PHI7105,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7106_V06_20230725_20230725_101638/PHI7106_V06_20230725_20230725_101638_proc-cleaned_raw.fif,PHI7106,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7106_v06_a2__20230719_112906/PHI7106_v06_a2__20230719_112906_proc-cleaned_raw.fif,PHI7106,6,aep,2
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7109_v12_20240123_20240123_114841/PHI7109_v12_20240123_20240123_114841_proc-cleaned_raw.fif,PHI7109,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7111_V06_20230810_20230810_024408/PHI7111_V06_20230810_20230810_024408_proc-cleaned_raw.fif,PHI7111,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7111_V12_20240112_101020/PHI7111_V12_20240112_101020_proc-cleaned_raw.fif,PHI7111,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7114_v06_20230808_113052/PHI7114_v06_20230808_113052_proc-cleaned_raw.fif,PHI7114,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7118_A3_V06_20230921_120703/PHI7118_A3_V06_20230921_120703_proc-cleaned_raw.fif,PHI7118,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7122__V06_20231116_060730/PHI7122__V06_20231116_060730_proc-cleaned_raw.fif,PHI7122,6,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7122_v12_5302024_20240530_021811/PHI7122_v12_5302024_20240530_021811_proc-cleaned_raw.fif,PHI7122,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7123_v12_052924_20240529_111613/PHI7123_v12_052924_20240529_111613_proc-cleaned_raw.fif,PHI7123,12,aep,1
/Volumes/UBUNTU18/USC/IBIS-EEG/derivatives/QCR/run-01/PHI7146_v06_04182024_20240418_110004/PHI7146_v06_04182024_20240418_110004_proc-cleaned_raw.fif,PHI7146,6,aep,1
